image_id ,healthy               ,multiple_diseases     ,rust                  ,scab
Test_0   ,0.00012552039697766304,0.0012115807039663196 ,0.9984005093574524    ,0.00026232199161313474
Test_1   ,0.00011268594971625134,0.0225780438631773    ,0.9757330417633057    ,0.0015762480907142162
Test_2   ,3.4939375836984254e-07,8.881570465746336e-07 ,1.5287870382962865e-06,0.9999972581863403
Test_3   ,0.9999837875366211    ,5.157275154488161e-06 ,2.5145820927718887e-06,8.493807399645448e-06
Test_4   ,9.415639942744747e-05 ,7.272519724210724e-05 ,0.9996827840805054    ,0.00015037327830214053
Test_5   ,0.9998980760574341    ,5.451713877846487e-05 ,8.14392842585221e-06  ,3.9328191633103415e-05
Test_6   ,0.9998161196708679    ,4.5646916987607256e-05,7.324020316445967e-06 ,0.00013096640759613365
Test_7   ,1.1154063031426631e-05,0.00020025255798827857,1.8539301890996285e-05,0.9997701048851013
Test_8   ,0.0006599861080758274 ,0.004935477394610643  ,0.000150996187585406  ,0.9942535758018494
Test_9   ,5.465026697493158e-05 ,0.0008739416371099651 ,0.9989540576934814    ,0.00011726755474228412
Test_10  ,3.1833882530918345e-05,0.0003060530871152878 ,0.9996367692947388    ,2.5388024369021878e-05
Test_11  ,0.9998894929885864    ,6.096052675275132e-05 ,3.5897872294299304e-05,1.3709284758078866e-05
Test_12  ,0.18060070276260376   ,0.03893193230032921   ,0.0005485200672410429 ,0.7799188494682312
Test_13  ,0.9999022483825684    ,3.9866816223366186e-05,1.1917324627574999e-05,4.597959923557937e-05
Test_14  ,0.00010739896242739633,0.003221895545721054  ,0.9961896538734436    ,0.00048117409460246563
Test_15  ,0.0005656310822814703 ,0.0010892534628510475 ,0.9982430934906006    ,0.0001021100179059431
Test_16  ,0.9996362924575806    ,2.0969264369341545e-05,5.873453847016208e-05 ,0.0002839573426172137
Test_17  ,0.0001528215507278219 ,0.00083199079381302   ,0.00011894061753991991,0.9988962411880493
Test_18  ,0.03420192375779152   ,0.002048780210316181  ,0.0003649895661510527 ,0.9633842706680298
Test_19  ,3.0679410656375694e-07,0.00012012470688205212,0.9998687505722046    ,1.0694414413592312e-05
Test_20  ,1.2433278016033e-06   ,3.827294676739257e-06 ,2.4077953639789484e-06,0.9999924898147583
Test_21  ,0.9999822378158569    ,6.45887939754175e-06  ,4.8277524911100045e-06,6.5654676291160285e-06
Test_22  ,6.871339428471401e-05 ,0.0009591249981895089 ,0.9987848401069641    ,0.0001873398432508111
Test_23  ,5.097733151160355e-07 ,2.129053791577462e-05 ,4.705121227743803e-06 ,0.9999734163284302
Test_24  ,0.9985656142234802    ,0.0008498068200424314 ,6.781841511838138e-05 ,0.0005167258786968887
Test_25  ,5.370336657506414e-05 ,5.2238516218494624e-05,5.695025538443588e-05 ,0.9998371601104736
Test_26  ,0.01739042066037655   ,0.01728975959122181   ,0.004090686794370413  ,0.9612290859222412
Test_27  ,1.6958163541858084e-05,0.00010369506344432011,0.9998502731323242    ,2.9054426704533398e-05
Test_28  ,0.999992847442627     ,2.852936177077936e-06 ,2.76839926982575e-07  ,4.107702807232272e-06
Test_29  ,0.0006308815791271627 ,0.05023282393813133   ,0.9353252053260803    ,0.013811178505420685
Test_30  ,0.9186965227127075    ,0.038401637226343155  ,0.002039606450125575  ,0.040862128138542175
Test_31  ,4.807557161257137e-06 ,0.8815235495567322    ,0.11826011538505554   ,0.0002115548268193379
